Electron_charge,Int_t,electric charge,Gaussian smearing 
Electron_cleanmask,UChar_t,simple cleaning mask with priority to leptons,Gaussian smearing 
Electron_convVeto,Bool_t,pass conversion veto,Gaussian smearing 
Electron_cutBased,Int_t,"cut-based ID Fall17 V2 (0:fail, 1:veto, 2:loose, 3:medium, 4:tight)",Gaussian smearing 
Electron_cutBased_Fall17_V1,Int_t,"cut-based ID Fall17 V1 (0:fail, 1:veto, 2:loose, 3:medium, 4:tight)",Gaussian smearing 
Electron_cutBased_HEEP,Bool_t,cut-based HEEP ID,Gaussian smearing 
Electron_deltaEtaSC,Float_t,"delta eta (SC,ele) with sign",ok
Electron_dr03EcalRecHitSumEt,Float_t,Non-PF Ecal isolation within a delta R cone of 0.3 with electron pt > 35 GeV,Log(1+x)
Electron_dr03HcalDepth1TowerSumEt,Float_t,Non-PF Hcal isolation within a delta R cone of 0.3 with electron pt > 35 GeV,Log(1+x)
Electron_dr03TkSumPt,Float_t,Non-PF track isolation within a delta R cone of 0.3 with electron pt > 35 GeV,Log(1+x)
Electron_dr03TkSumPtHEEP,Float_t,Non-PF track isolation within a delta R cone of 0.3 with electron pt > 35 GeV used in HEEP ID,Log(1+x)
Electron_dxy,Float_t,"dxy (with sign) wrt first PV, in cm",arctan
Electron_dxyErr,Float_t,"dxy uncertainty, in cm",Log(1+x)
Electron_dz,Float_t,"dz (with sign) wrt first PV, in cm",arctan
Electron_dzErr,Float_t,"dz uncertainty, in cm",Log(1+x)
Electron_eCorr,Float_t,ratio of the calibrated energy/miniaod energy,arctan (centrata in 1)
Electron_eInvMinusPInv,Float_t,1/E_SC - 1/p_trk,arctan
Electron_energyErr,Float_t,energy error of the cluster-track combination,Log
Electron_etaMinusGen,Float_t,eta,arctan
#Electron_genPartFlav,UChar_t,"Flavour of genParticle for MC matching to status==1 electrons or photons: 1 = prompt electron (including gamma*->mu mu), 15 = electron from prompt tau, 22 = prompt photon (likely conversion), 5 = electron from b, 4 = electron from c, 3 = electron from light or unknown, 0 = unmatched",-
